Statistic,Month,Type of Animal,UNIT,VALUE
Weight of Livestock Slaughtered,1987M04,Bullocks,000 Tonnes,10.7
Weight of Livestock Slaughtered,1987M04,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1987M04,Cows,000 Tonnes,6.2
Weight of Livestock Slaughtered,1987M04,Heifers,000 Tonnes,8.7
Weight of Livestock Slaughtered,1987M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M04,Lambs,000 Tonnes,1.8
Weight of Livestock Slaughtered,1987M04,Cattle (Including Calves),000 Tonnes,25.7
Weight of Livestock Slaughtered,1987M04,Cattle without Calves,000 Tonnes,25.7
Weight of Livestock Slaughtered,1987M05,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,1987M05,Pigs,000 Tonnes,11.5
Weight of Livestock Slaughtered,1987M05,Bullocks,000 Tonnes,9.4
Weight of Livestock Slaughtered,1987M05,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1987M05,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1987M05,Heifers,000 Tonnes,7.9
Weight of Livestock Slaughtered,1987M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M05,Lambs,000 Tonnes,3.4
Weight of Livestock Slaughtered,1987M05,Cattle (Including Calves),000 Tonnes,24.5
Weight of Livestock Slaughtered,1987M05,Cattle without Calves,000 Tonnes,24.5
Weight of Livestock Slaughtered,1987M06,Sheep,000 Tonnes,5.3
Weight of Livestock Slaughtered,1987M06,Pigs,000 Tonnes,12.3
Weight of Livestock Slaughtered,1987M06,Bullocks,000 Tonnes,14.4
Weight of Livestock Slaughtered,1987M06,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1987M06,Cows,000 Tonnes,8.2
Weight of Livestock Slaughtered,1987M06,Heifers,000 Tonnes,7.8
Weight of Livestock Slaughtered,1987M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M06,Lambs,000 Tonnes,4.1
Weight of Livestock Slaughtered,1987M06,Cattle (Including Calves),000 Tonnes,30.6
Weight of Livestock Slaughtered,1987M06,Cattle without Calves,000 Tonnes,30.6
Weight of Livestock Slaughtered,1987M07,Sheep,000 Tonnes,5.1
Weight of Livestock Slaughtered,1987M07,Pigs,000 Tonnes,12.5
Weight of Livestock Slaughtered,1987M07,Bullocks,000 Tonnes,18.7
Weight of Livestock Slaughtered,1987M07,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1987M07,Cows,000 Tonnes,7.9
Weight of Livestock Slaughtered,1987M07,Heifers,000 Tonnes,7.7
Weight of Livestock Slaughtered,1987M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M07,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,1987M07,Cattle (Including Calves),000 Tonnes,34.7
Weight of Livestock Slaughtered,1987M07,Cattle without Calves,000 Tonnes,34.7
Weight of Livestock Slaughtered,1987M08,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1987M08,Pigs,000 Tonnes,11.2
Weight of Livestock Slaughtered,1987M08,Bullocks,000 Tonnes,22.2
Weight of Livestock Slaughtered,1987M08,Bulls,000 Tonnes,0.5
Weight of Livestock Slaughtered,1987M08,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1987M08,Heifers,000 Tonnes,7.8
Weight of Livestock Slaughtered,1987M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M08,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1987M08,Cattle (Including Calves),000 Tonnes,37.5
Weight of Livestock Slaughtered,1987M08,Cattle without Calves,000 Tonnes,37.5
Weight of Livestock Slaughtered,1987M09,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,1987M09,Pigs,000 Tonnes,12
Weight of Livestock Slaughtered,1987M09,Bullocks,000 Tonnes,41.4
Weight of Livestock Slaughtered,1987M09,Bulls,000 Tonnes,0.8
Weight of Livestock Slaughtered,1987M09,Cows,000 Tonnes,8.9
Weight of Livestock Slaughtered,1987M09,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1987M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M09,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,1987M09,Cattle (Including Calves),000 Tonnes,59.9
Weight of Livestock Slaughtered,1987M09,Cattle without Calves,000 Tonnes,59.9
Weight of Livestock Slaughtered,1987M10,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,1987M10,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1987M10,Bullocks,000 Tonnes,61.7
Weight of Livestock Slaughtered,1987M10,Bulls,000 Tonnes,0.7
Weight of Livestock Slaughtered,1987M10,Cows,000 Tonnes,9.2
Weight of Livestock Slaughtered,1987M10,Heifers,000 Tonnes,10.7
Weight of Livestock Slaughtered,1987M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1987M10,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,1987M10,Cattle (Including Calves),000 Tonnes,82.3
Weight of Livestock Slaughtered,1987M10,Cattle without Calves,000 Tonnes,82.2
Weight of Livestock Slaughtered,1987M11,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,1987M11,Pigs,000 Tonnes,12.5
Weight of Livestock Slaughtered,1987M11,Bullocks,000 Tonnes,34.1
Weight of Livestock Slaughtered,1987M11,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1987M11,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,1987M11,Heifers,000 Tonnes,9.9
Weight of Livestock Slaughtered,1987M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M11,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,1987M11,Cattle (Including Calves),000 Tonnes,51.9
Weight of Livestock Slaughtered,1987M11,Cattle without Calves,000 Tonnes,51.9
Weight of Livestock Slaughtered,1987M12,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1987M12,Pigs,000 Tonnes,11.2
Weight of Livestock Slaughtered,1987M12,Bullocks,000 Tonnes,14.2
Weight of Livestock Slaughtered,1987M12,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1987M12,Cows,000 Tonnes,4.7
Weight of Livestock Slaughtered,1987M12,Heifers,000 Tonnes,9
Weight of Livestock Slaughtered,1987M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M12,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,1987M12,Cattle (Including Calves),000 Tonnes,28
Weight of Livestock Slaughtered,1987M12,Cattle without Calves,000 Tonnes,28
Weight of Livestock Slaughtered,1988M01,Sheep,000 Tonnes,3.3
Weight of Livestock Slaughtered,1988M01,Pigs,000 Tonnes,12.3
Weight of Livestock Slaughtered,1988M01,Bullocks,000 Tonnes,13.4
Weight of Livestock Slaughtered,1988M01,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M01,Cows,000 Tonnes,5
Weight of Livestock Slaughtered,1988M01,Heifers,000 Tonnes,8.6
Weight of Livestock Slaughtered,1988M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M01,Lambs,000 Tonnes,2.1
Weight of Livestock Slaughtered,1988M01,Cattle (Including Calves),000 Tonnes,27
Weight of Livestock Slaughtered,1988M01,Cattle without Calves,000 Tonnes,27
Weight of Livestock Slaughtered,1988M02,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,1988M02,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1988M02,Bullocks,000 Tonnes,16.2
Weight of Livestock Slaughtered,1988M02,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M02,Cows,000 Tonnes,5.2
Weight of Livestock Slaughtered,1988M02,Heifers,000 Tonnes,7.5
Weight of Livestock Slaughtered,1988M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M02,Lambs,000 Tonnes,2
Weight of Livestock Slaughtered,1988M02,Cattle (Including Calves),000 Tonnes,29.1
Weight of Livestock Slaughtered,1988M02,Cattle without Calves,000 Tonnes,29.1
Weight of Livestock Slaughtered,1988M03,Sheep,000 Tonnes,3.6
Weight of Livestock Slaughtered,1988M03,Pigs,000 Tonnes,12.8
Weight of Livestock Slaughtered,1988M03,Bullocks,000 Tonnes,19.2
Weight of Livestock Slaughtered,1988M03,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M03,Cows,000 Tonnes,6.1
Weight of Livestock Slaughtered,1988M03,Heifers,000 Tonnes,8.2
Weight of Livestock Slaughtered,1988M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M03,Lambs,000 Tonnes,2.1
Weight of Livestock Slaughtered,1988M03,Cattle (Including Calves),000 Tonnes,33.6
Weight of Livestock Slaughtered,1988M03,Cattle without Calves,000 Tonnes,33.6
Weight of Livestock Slaughtered,1988M04,Sheep,000 Tonnes,3.2
Weight of Livestock Slaughtered,1988M04,Pigs,000 Tonnes,11.2
Weight of Livestock Slaughtered,1988M04,Bullocks,000 Tonnes,16.1
Weight of Livestock Slaughtered,1988M04,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M04,Cows,000 Tonnes,4.2
Weight of Livestock Slaughtered,1988M04,Heifers,000 Tonnes,6.6
Weight of Livestock Slaughtered,1988M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M04,Lambs,000 Tonnes,1.9
Weight of Livestock Slaughtered,1988M04,Cattle (Including Calves),000 Tonnes,27.1
Weight of Livestock Slaughtered,1988M04,Cattle without Calves,000 Tonnes,27.1
Weight of Livestock Slaughtered,1988M05,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1988M05,Pigs,000 Tonnes,12.1
Weight of Livestock Slaughtered,1988M05,Bullocks,000 Tonnes,10.1
Weight of Livestock Slaughtered,1988M05,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M05,Cows,000 Tonnes,4.7
Weight of Livestock Slaughtered,1988M05,Heifers,000 Tonnes,6.4
Weight of Livestock Slaughtered,1988M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M05,Lambs,000 Tonnes,3.2
Weight of Livestock Slaughtered,1988M05,Cattle (Including Calves),000 Tonnes,21.3
Weight of Livestock Slaughtered,1988M05,Cattle without Calves,000 Tonnes,21.3
Weight of Livestock Slaughtered,1988M06,Sheep,000 Tonnes,5
Weight of Livestock Slaughtered,1988M06,Pigs,000 Tonnes,12.2
Weight of Livestock Slaughtered,1988M06,Bullocks,000 Tonnes,13.2
Weight of Livestock Slaughtered,1988M06,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1988M06,Cows,000 Tonnes,7.1
Weight of Livestock Slaughtered,1988M06,Heifers,000 Tonnes,6.3
Weight of Livestock Slaughtered,1988M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M06,Lambs,000 Tonnes,3.8
Weight of Livestock Slaughtered,1988M06,Cattle (Including Calves),000 Tonnes,26.8
Weight of Livestock Slaughtered,1988M06,Cattle without Calves,000 Tonnes,26.8
Weight of Livestock Slaughtered,1988M07,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,1988M07,Pigs,000 Tonnes,11.8
Weight of Livestock Slaughtered,1988M07,Bullocks,000 Tonnes,11.9
Weight of Livestock Slaughtered,1988M07,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1988M07,Cows,000 Tonnes,6.7
Weight of Livestock Slaughtered,1988M07,Heifers,000 Tonnes,6.1
Weight of Livestock Slaughtered,1988M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M07,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,1988M07,Cattle (Including Calves),000 Tonnes,24.8
Weight of Livestock Slaughtered,1988M07,Cattle without Calves,000 Tonnes,24.8
Weight of Livestock Slaughtered,1988M08,Sheep,000 Tonnes,4.5
Weight of Livestock Slaughtered,1988M08,Pigs,000 Tonnes,13
Weight of Livestock Slaughtered,1988M08,Bullocks,000 Tonnes,20.3
Weight of Livestock Slaughtered,1988M08,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1988M08,Cows,000 Tonnes,7.3
Weight of Livestock Slaughtered,1988M08,Heifers,000 Tonnes,6.4
Weight of Livestock Slaughtered,1988M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M08,Lambs,000 Tonnes,3.3
Weight of Livestock Slaughtered,1988M08,Cattle (Including Calves),000 Tonnes,34.4
Weight of Livestock Slaughtered,1988M08,Cattle without Calves,000 Tonnes,34.4
Weight of Livestock Slaughtered,1988M09,Sheep,000 Tonnes,4.3
Weight of Livestock Slaughtered,1988M09,Pigs,000 Tonnes,13.2
Weight of Livestock Slaughtered,1988M09,Bullocks,000 Tonnes,37.5
Weight of Livestock Slaughtered,1988M09,Bulls,000 Tonnes,1
Weight of Livestock Slaughtered,1988M09,Cows,000 Tonnes,6
Weight of Livestock Slaughtered,1988M09,Heifers,000 Tonnes,7.4
Weight of Livestock Slaughtered,1988M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M09,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,1988M09,Cattle (Including Calves),000 Tonnes,51.9
Weight of Livestock Slaughtered,1988M09,Cattle without Calves,000 Tonnes,51.9
Weight of Livestock Slaughtered,1988M10,Sheep,000 Tonnes,3.7
Weight of Livestock Slaughtered,1988M10,Pigs,000 Tonnes,12.1
Weight of Livestock Slaughtered,1988M10,Bullocks,000 Tonnes,70
Weight of Livestock Slaughtered,1988M10,Bulls,000 Tonnes,0.9
Weight of Livestock Slaughtered,1988M10,Cows,000 Tonnes,5.2
Weight of Livestock Slaughtered,1988M10,Heifers,000 Tonnes,7.7
Weight of Livestock Slaughtered,1988M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M10,Lambs,000 Tonnes,2.6
Weight of Livestock Slaughtered,1988M10,Cattle (Including Calves),000 Tonnes,83.8
Weight of Livestock Slaughtered,1988M10,Cattle without Calves,000 Tonnes,83.8
Weight of Livestock Slaughtered,1988M11,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,1988M11,Pigs,000 Tonnes,13.4
Weight of Livestock Slaughtered,1988M11,Bullocks,000 Tonnes,52
Weight of Livestock Slaughtered,1988M11,Bulls,000 Tonnes,0.5
Weight of Livestock Slaughtered,1988M11,Cows,000 Tonnes,5.8
Weight of Livestock Slaughtered,1988M11,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1988M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M11,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1988M11,Cattle (Including Calves),000 Tonnes,67.4
Weight of Livestock Slaughtered,1988M11,Cattle without Calves,000 Tonnes,67.4
Weight of Livestock Slaughtered,1988M12,Sheep,000 Tonnes,4.4
Weight of Livestock Slaughtered,1988M12,Pigs,000 Tonnes,11.5
Weight of Livestock Slaughtered,1988M12,Bullocks,000 Tonnes,21.1
Weight of Livestock Slaughtered,1988M12,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1988M12,Cows,000 Tonnes,3.5
Weight of Livestock Slaughtered,1988M12,Heifers,000 Tonnes,6.8
Weight of Livestock Slaughtered,1988M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1988M12,Lambs,000 Tonnes,2.7
Weight of Livestock Slaughtered,1988M12,Cattle (Including Calves),000 Tonnes,31.6
Weight of Livestock Slaughtered,1988M12,Cattle without Calves,000 Tonnes,31.6
Weight of Livestock Slaughtered,1989M01,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,1989M01,Pigs,000 Tonnes,12.6
Weight of Livestock Slaughtered,1989M01,Bullocks,000 Tonnes,5.9
Weight of Livestock Slaughtered,1989M01,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1989M01,Cows,000 Tonnes,4.1
Weight of Livestock Slaughtered,1989M01,Heifers,000 Tonnes,7.9
Weight of Livestock Slaughtered,1989M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M01,Lambs,000 Tonnes,2.6
Weight of Livestock Slaughtered,1989M01,Cattle (Including Calves),000 Tonnes,17.9
Weight of Livestock Slaughtered,1989M01,Cattle without Calves,000 Tonnes,17.9
Weight of Livestock Slaughtered,1989M02,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,1989M02,Pigs,000 Tonnes,11.3
Weight of Livestock Slaughtered,1989M02,Bullocks,000 Tonnes,7.5
Weight of Livestock Slaughtered,1989M02,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1989M02,Cows,000 Tonnes,4
Weight of Livestock Slaughtered,1989M02,Heifers,000 Tonnes,6.9
Weight of Livestock Slaughtered,1989M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M02,Lambs,000 Tonnes,2.6
Weight of Livestock Slaughtered,1989M02,Cattle (Including Calves),000 Tonnes,18.4
Weight of Livestock Slaughtered,1989M02,Cattle without Calves,000 Tonnes,18.4
Weight of Livestock Slaughtered,1989M03,Sheep,000 Tonnes,4.1
Weight of Livestock Slaughtered,1989M03,Pigs,000 Tonnes,12
Weight of Livestock Slaughtered,1989M03,Bullocks,000 Tonnes,28.5
Weight of Livestock Slaughtered,1989M03,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1989M03,Cows,000 Tonnes,5.1
Weight of Livestock Slaughtered,1989M03,Heifers,000 Tonnes,8
Weight of Livestock Slaughtered,1989M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M03,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,1989M03,Cattle (Including Calves),000 Tonnes,41.7
Weight of Livestock Slaughtered,1989M03,Cattle without Calves,000 Tonnes,41.7
Weight of Livestock Slaughtered,1989M04,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,1989M04,Pigs,000 Tonnes,11.3
Weight of Livestock Slaughtered,1989M04,Bullocks,000 Tonnes,5.7
Weight of Livestock Slaughtered,1989M04,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1989M04,Cows,000 Tonnes,5.2
Weight of Livestock Slaughtered,1989M04,Heifers,000 Tonnes,6.6
Weight of Livestock Slaughtered,1989M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M04,Lambs,000 Tonnes,2.3
Weight of Livestock Slaughtered,1989M04,Cattle (Including Calves),000 Tonnes,17.7
Weight of Livestock Slaughtered,1989M04,Cattle without Calves,000 Tonnes,17.7
Weight of Livestock Slaughtered,1989M05,Sheep,000 Tonnes,5.7
Weight of Livestock Slaughtered,1989M05,Pigs,000 Tonnes,12.9
Weight of Livestock Slaughtered,1989M05,Bullocks,000 Tonnes,7.7
Weight of Livestock Slaughtered,1989M05,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1989M05,Cows,000 Tonnes,5.4
Weight of Livestock Slaughtered,1989M05,Heifers,000 Tonnes,6.6
Weight of Livestock Slaughtered,1989M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M05,Lambs,000 Tonnes,4.5
Weight of Livestock Slaughtered,1989M05,Cattle (Including Calves),000 Tonnes,19.9
Weight of Livestock Slaughtered,1989M05,Cattle without Calves,000 Tonnes,19.9
Weight of Livestock Slaughtered,1989M06,Sheep,000 Tonnes,6.1
Weight of Livestock Slaughtered,1989M06,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1989M06,Bullocks,000 Tonnes,9.7
Weight of Livestock Slaughtered,1989M06,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1989M06,Cows,000 Tonnes,6.7
Weight of Livestock Slaughtered,1989M06,Heifers,000 Tonnes,6.3
Weight of Livestock Slaughtered,1989M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M06,Lambs,000 Tonnes,5
Weight of Livestock Slaughtered,1989M06,Cattle (Including Calves),000 Tonnes,23
Weight of Livestock Slaughtered,1989M06,Cattle without Calves,000 Tonnes,23
Weight of Livestock Slaughtered,1989M07,Sheep,000 Tonnes,6.1
Weight of Livestock Slaughtered,1989M07,Pigs,000 Tonnes,11.7
Weight of Livestock Slaughtered,1989M07,Bullocks,000 Tonnes,14.1
Weight of Livestock Slaughtered,1989M07,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1989M07,Cows,000 Tonnes,8.2
Weight of Livestock Slaughtered,1989M07,Heifers,000 Tonnes,6.7
Weight of Livestock Slaughtered,1989M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M07,Lambs,000 Tonnes,5
Weight of Livestock Slaughtered,1989M07,Cattle (Including Calves),000 Tonnes,29.4
Weight of Livestock Slaughtered,1989M07,Cattle without Calves,000 Tonnes,29.4
Weight of Livestock Slaughtered,1989M08,Sheep,000 Tonnes,6
Weight of Livestock Slaughtered,1989M08,Pigs,000 Tonnes,12.7
Weight of Livestock Slaughtered,1989M08,Bullocks,000 Tonnes,17.1
Weight of Livestock Slaughtered,1989M08,Bulls,000 Tonnes,0.6
Weight of Livestock Slaughtered,1989M08,Cows,000 Tonnes,7.3
Weight of Livestock Slaughtered,1989M08,Heifers,000 Tonnes,7.5
Weight of Livestock Slaughtered,1989M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M08,Lambs,000 Tonnes,4.9
Weight of Livestock Slaughtered,1989M08,Cattle (Including Calves),000 Tonnes,32.4
Weight of Livestock Slaughtered,1989M08,Cattle without Calves,000 Tonnes,32.4
Weight of Livestock Slaughtered,1989M09,Sheep,000 Tonnes,6.5
Weight of Livestock Slaughtered,1989M09,Pigs,000 Tonnes,11.2
Weight of Livestock Slaughtered,1989M09,Bullocks,000 Tonnes,19.2
Weight of Livestock Slaughtered,1989M09,Bulls,000 Tonnes,0.6
Weight of Livestock Slaughtered,1989M09,Cows,000 Tonnes,6
Weight of Livestock Slaughtered,1989M09,Heifers,000 Tonnes,7.8
Weight of Livestock Slaughtered,1989M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M09,Lambs,000 Tonnes,4.6
Weight of Livestock Slaughtered,1989M09,Cattle (Including Calves),000 Tonnes,33.6
Weight of Livestock Slaughtered,1989M09,Cattle without Calves,000 Tonnes,33.6
Weight of Livestock Slaughtered,1989M10,Sheep,000 Tonnes,5.8
Weight of Livestock Slaughtered,1989M10,Pigs,000 Tonnes,12.1
Weight of Livestock Slaughtered,1989M10,Bullocks,000 Tonnes,55.9
Weight of Livestock Slaughtered,1989M10,Bulls,000 Tonnes,0.8
Weight of Livestock Slaughtered,1989M10,Cows,000 Tonnes,4.5
Weight of Livestock Slaughtered,1989M10,Heifers,000 Tonnes,8.1
Weight of Livestock Slaughtered,1989M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M10,Lambs,000 Tonnes,4
Weight of Livestock Slaughtered,1989M10,Cattle (Including Calves),000 Tonnes,69.3
Weight of Livestock Slaughtered,1989M10,Cattle without Calves,000 Tonnes,69.3
Weight of Livestock Slaughtered,1989M11,Sheep,000 Tonnes,5.9
Weight of Livestock Slaughtered,1989M11,Pigs,000 Tonnes,13.6
Weight of Livestock Slaughtered,1989M11,Bullocks,000 Tonnes,77.5
Weight of Livestock Slaughtered,1989M11,Bulls,000 Tonnes,0.8
Weight of Livestock Slaughtered,1989M11,Cows,000 Tonnes,4.9
Weight of Livestock Slaughtered,1989M11,Heifers,000 Tonnes,9.3
Weight of Livestock Slaughtered,1989M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1989M11,Lambs,000 Tonnes,4.2
Weight of Livestock Slaughtered,1989M11,Cattle (Including Calves),000 Tonnes,92.5
Weight of Livestock Slaughtered,1989M11,Cattle without Calves,000 Tonnes,92.5
Weight of Livestock Slaughtered,1989M12,Sheep,000 Tonnes,5.3
Weight of Livestock Slaughtered,1989M12,Pigs,000 Tonnes,10.6
Weight of Livestock Slaughtered,1989M12,Bullocks,000 Tonnes,23.9
