TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1993M07,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),121.93,
1993M07,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M07,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M07,Ireland,Bovine meat,Slaughterings,Thousand tonnes,36.3,
1993M07,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),114.7,
1993M07,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.5,
1993M07,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),257.1,
1993M07,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.9,
1993M07,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),489.4,
1993M07,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M07,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M08,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,126.05,
